Date,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW
1/29/2022 18:00,1200.67,-1758
1/29/2022 19:00,1059.83,-1814.08
1/29/2022 20:00,886.42,-2060.58
1/29/2022 21:00,669.58,-1871.58
1/29/2022 22:00,882.42,-1863.42
1/29/2022 23:00,353.83,-1936.25
1/30/2022 0:00,486.25,-1751.83
1/30/2022 1:00,621.75,-1499.08
1/30/2022 2:00,522.92,-1042.25
1/30/2022 3:00,556.33,-1000.42
1/30/2022 4:00,575.08,-325.17
1/30/2022 5:00,1037.58,-41
1/30/2022 6:00,1002,10.08
1/30/2022 7:00,1056.08,-875
1/30/2022 8:00,1233.33,-725.75
1/30/2022 9:00,1549.83,-1699.75
1/30/2022 10:00,1898.83,-1907.5
1/30/2022 11:00,1648.08,-1972.92
1/30/2022 12:00,1531.25,-1960
1/30/2022 13:00,1646.25,-2184.17
1/30/2022 14:00,1778.83,-2067.58
1/30/2022 15:00,1620.75,-2117.42
1/30/2022 16:00,1494.25,-2085.75
1/30/2022 17:00,912,-1984.67
1/30/2022 18:00,884.42,-1909
1/30/2022 19:00,771.17,-1920.92
1/30/2022 20:00,908.75,-1954.17
1/30/2022 21:00,753.75,-2001.75
1/30/2022 22:00,761.92,-1946.25
1/30/2022 23:00,1043.25,-2023.5
1/31/2022 0:00,1297.25,-1847.5
1/31/2022 1:00,1057.75,-1820.33
1/31/2022 2:00,1300.75,-1773
1/31/2022 3:00,1277.33,-1848.92
1/31/2022 4:00,1363.08,-1751.33
1/31/2022 5:00,1270.25,-1564.17
1/31/2022 6:00,889.08,-1731.67
1/31/2022 7:00,612.58,-1973
1/31/2022 8:00,648.17,-1975.25
1/31/2022 9:00,727.33,-1871.75
1/31/2022 10:00,729.5,-1906.58
1/31/2022 11:00,1159.83,-1997.83
1/31/2022 12:00,1611.42,-2093.5
1/31/2022 13:00,1899,-2080.75
1/31/2022 14:00,1315.75,-2057.42
1/31/2022 15:00,1219.42,-2055.58
1/31/2022 16:00,1489.5,-1970.67
1/31/2022 17:00,1856.17,-1921.67
1/31/2022 18:00,1630.67,-1851.75
1/31/2022 19:00,1441.42,-2062.17
1/31/2022 20:00,1627.75,-1931.08
1/31/2022 21:00,1902.67,-1857.75
1/31/2022 22:00,1621.67,-1978.33
1/31/2022 23:00,1532.83,-2083.5
2/1/2022 0:00,1713.67,-1825
2/1/2022 1:00,1333.75,-1710.08
2/1/2022 2:00,1397.75,-1562.75
2/1/2022 3:00,1841.17,-1389.67
2/1/2022 4:00,1919.75,-1197.17
2/1/2022 5:00,1548.75,-1328.92
2/1/2022 6:00,577.17,-1551.58
2/1/2022 7:00,287.75,-1500.5
2/1/2022 8:00,1139.33,-1879
2/1/2022 9:00,1517.83,-2135.92
2/1/2022 10:00,1695.42,-2126.92
2/1/2022 11:00,1381,-1997.5
2/1/2022 12:00,1207.42,-2074.42
2/1/2022 13:00,1209.08,-2172.83
2/1/2022 14:00,1119.75,-2135
2/1/2022 15:00,1337.75,-2168.92
2/1/2022 16:00,937.92,-2194.58
2/1/2022 17:00,957.67,-2252.92
2/1/2022 18:00,927.08,-2093.25
2/1/2022 19:00,832.75,-1919.58
2/1/2022 20:00,1048.92,-2129.5
2/1/2022 21:00,1008.83,-1991.83
