Year,Month,Philly_Temp,M3,Dominion_South,TranscoZ6_nonNY,ChiCityGate,TranscoZ5_nonWGL,HenryHub,TranscoZ6_NY
2015,1,35.05381944,1.712800026,1.20720005,3.110899925,3.040899992,3.1322999,2.994899988,3.158900023
2015,1,37.17013889,1.840255933,1.062603843,3.099240635,3.131334867,3.127715943,2.992558175,3.14888486
2015,1,36.29340278,1.968600035,0.916999996,3.087500095,3.22239995,3.123100042,2.990200043,3.138799906
2015,1,49.09201389,1.968600035,0.916999996,3.087500095,3.22239995,3.123100042,2.990200043,3.138799906
2015,1,36.71180556,3.697326511,1.142414593,5.310205393,3.275863687,4.246485711,3.09842298,7.680475495
2015,1,22.02951389,8.932125393,1.448225384,10.01560343,3.424370161,8.552189127,3.085325369,14.37969245
2015,1,20.09375,11.65915702,1.452511636,11.84752357,3.432902452,12.14621545,3.014169556,14.74179674
2015,1,14.81944444,8.699037448,1.660312503,8.999783229,3.253819429,9.435290025,2.990065601,10.63890522
2015,1,28.74305556,5.921288485,1.761641357,6.483942057,3.11192275,5.886150516,2.932134449,10.61586869
2015,1,19.40798611,5.317699909,1.576300025,5.862067128,3.062000036,5.466899872,2.951100111,12.93690014
2015,1,28.03298611,5.317699909,1.576300025,5.2401922,3.062000036,5.466899872,2.951100111,12.93690014
2015,1,35.765625,4.837373646,1.596031282,4.618317271,3.032901348,4.744816005,2.923695564,11.43782329
2015,1,29.67534722,4.29166617,1.613458498,4.220748253,2.983918459,4.074502201,2.893309779,7.457807901
2015,1,26.50520833,4.0966119,1.627143698,4.217013024,3.056278794,4.225124518,3.011079862,4.833575774
2015,1,31.60243056,4.580548625,1.846741511,4.730749345,3.229470003,4.71522008,3.213268548,5.679822585
2015,1,33.67708333,4.312101752,1.884133208,4.345105144,3.169291663,4.256039379,3.192904403,5.799285348
2015,1,25.45486111,3.415699959,1.715600014,3.519999981,3.027199984,3.392100096,3.090500116,4.922100067
2015,1,34.65625,3.415699959,1.715600014,3.519999981,3.027199984,3.392100096,3.090500116,4.922100067
2015,1,38.59895833,3.415699959,1.715600014,3.519999981,3.027199984,3.392100096,3.090500116,4.922100067
2015,1,37.29861111,3.266918382,1.640561494,3.524428989,2.955549626,3.286218972,3.007788247,4.110826776
2015,1,30.73090278,2.910768958,1.567889933,3.533317869,2.893913353,3.129823434,2.933169793,3.284233634
2015,1,34.99305556,2.76059931,1.6288477,3.54220675,2.889003983,3.141484751,2.937415609,3.263538169
2015,1,33.67013889,3.391204782,1.791188001,3.55109563,2.881172873,3.850247184,2.948246532,5.618007841
2015,1,35.265625,3.967799902,1.895799994,3.559984511,2.888999939,4.501299858,2.963700056,8
2015,1,39.42013889,3.967799902,1.895799994,3.568873391,2.888999939,4.501299858,2.963700056,8
2015,1,29.11284722,5.42382662,1.947370311,3.577762272,2.872706798,5.645413537,2.944616531,10.2751228
2015,1,28.53298611,6.447740866,1.924062144,3.586651152,2.868308189,6.596948842,2.939052458,11.0558622
2015,1,26.57291667,4.827493651,1.840776194,3.595540032,2.869637438,4.994479804,2.921409429,6.640585376
2015,1,29.57291667,4.334844146,1.939379991,3.571764958,2.829701365,4.35536289,2.884817438,6.082588469
2015,1,33.94097222,5.030099869,2.046299934,3.515098306,2.800400019,5.131899834,2.879800081,8.455699921
2015,1,21.59895833,6.305356507,2.060151712,3.458431653,2.794719818,5.727076034,2.780645507,13.02811844
2015,2,31.69097222,7.58949995,2.074100018,3.401765001,2.789000034,6.326399803,2.680799961,17.63240051
2015,2,33.64236111,5.895552125,2.132297275,3.345098349,2.732297579,5.14516566,2.657232148,13.32575621
2015,2,24.32986111,3.69945836,2.146554608,3.288431696,2.717303321,3.610203787,2.650291587,10.02073084
2015,2,35.99479167,4.761130446,2.257308558,4.998940967,2.786406922,4.495752325,2.69779346,12.09118067
2015,2,29.64409722,5.180745496,2.239706577,7.933376736,2.714344778,4.986019551,2.681314717,9.749977033
2015,2,23.80034722,3.243875543,2.024339546,10.30837674,2.599502944,3.483447844,2.594087935,4.919870431
2015,2,33.58854167,2.456199884,1.983999968,12.68337674,2.584199905,2.732700109,2.554199934,3.483400106
2015,2,39.74305556,2.456199884,1.983999968,15.05837674,2.584199905,2.732700109,2.554199934,3.483400106
2015,2,30.78645833,2.7683125,2.138112961,17.43337674,2.609412084,2.841072491,2.57517682,5.61527197
2015,2,33.05381944,3.632982385,2.348358122,19.80837674,2.71227996,3.478609007,2.615084523,10.76339215
2015,2,31.79861111,6.425600611,2.618551744,22.18337674,2.975853387,6.030661982,2.740279745,14.39074176
2015,2,32.703125,9.123054794,2.788461496,24.55837674,3.094437862,8.646223888,2.859158681,17.63750998
2015,2,17.72743056,12.58245213,2.607268829,26.93337674,3.033472992,12.85088957,2.800396272,19.00977214
2015,2,26.125,15.61629963,2.471800089,29.30837674,3.041300058,16.4951992,2.729199886,17.71719933
2015,2,13.02083333,15.61629963,2.471800089,31.68337674,3.041300058,16.4951992,2.729199886,17.71719933
2015,2,10.30381944,15.61629963,2.471800089,34.05837674,3.041300058,16.4951992,2.729199886,17.71719933
2015,2,19.91319444,17.74503233,2.748984253,36.43337674,3.533036736,27.35187086,2.837223603,27.35960175
2015,2,22.96701389,20.2703697,2.92117254,38.80837674,7.793231654,39.08844721,2.939522663,37.48230998
2015,2,16.13020833,17.71105736,2.815343513,35.01736111,9.099060289,30.74613868,2.949193678,29.54859284
2015,2,9.913194444,13.55505241,2.732993393,25.01736111,6.749566108,18.44644425,2.977657753,20.5816978
2015,2,21.06423611,12.35499954,2.648200035,20,6.903900146,15.34119987,2.989900112,20.01880074
2015,2,37.20138889,12.35499954,2.648200035,20,6.903900146,15.34119987,2.989900112,20.01880074
2015,2,26.89409722,15.26271861,2.90395886,18.60070892,5.755451625,17.47695813,3.089552795,21.70666909
2015,2,17.23958333,14.48491228,3.043212103,15.7923756,4.553109801,15.52115793,3.158160531,18.7105116
2015,2,28.52083333,15.53060413,2.900930668,12.98404229,4.56993028,16.02324233,3.1599325,18.65088261
2015,2,29.42361111,16.76790029,2.671617695,10.17570897,4.305791442,17.59579019,3.154238255,19.69922902
2015,2,26.27951389,13.16969967,2.46420002,7.36737565,3.975899935,14.47729969,3.114300013,16.02070045
2015,2,23.64409722,7.964835274,2.191400534,4.559042333,3.412463125,8.739741301,2.935124285,9.743123268
2015,3,27.06944444,2.723700047,1.916700006,3.150000095,2.845099926,2.962199926,2.754699945,3.421799898
2015,3,34.79513889,2.867648433,1.981025856,3.175984563,2.973552407,3.109636264,2.79720184,4.009950659
2015,3,29.90972222,3.013596519,2.117400553,3.228134574,3.71387126,3.249081445,2.883199494,4.212457969
2015,3,38.57291667,6.209168938,2.614718492,9.106758219,4.672902244,8.885828179,3.092073841,9.720092007
2015,3,28.57638889,10.54968456,2.888886642,13.78328928,4.241957877,13.43331396,3.264180528,14.80607949
2015,3,18.71875,7.156017155,2.47490206,11.57571273,3.151771848,7.689820358,3.076074995,8.566091303
