Date,GS-PIQ: NY Demand Forecast (Mod) Multi-Day (Details)(4252)-MW,GS-PIQ: PJM-E Demand Forecast (Mod) Multi-Day (Details)(4354)-MW,GS-PIQ: MISO Demand Forecast (Zonal Sum) Multi-Day (Details)(47581)-MW,WBI: Temp New York City NY (NYC)(5708)-Deg,PJM: Southern Forecasted Factored Weather Temp(6177)-F,PJM: Western Forecasted Factored Weather Temp(6024)-F,PJM: COMED Forecasted Factored Weather Temp(6804)-F,GS-PIQ: MISO Forecasted Factored Weather Temp(6882)-F,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW,PJM: InterTieSched- Total Exports(5806)-MW
7/1/2021,15998.578947368422,28893.736842105263,71653.31578947368,56.10526315789474,55.89473684210526,51.86842105263158,50.026315789473685,51.23684210526316,3371.9663157894734,-906.6884210526317,4893.24
7/1/2021,15403.552631578947,27763.184210526317,68908.5,55.71052631578947,55.3421052631579,50.973684210526315,49.3421052631579,50.578947368421055,3532.563421052632,-898.9805263157896,5159.5442105263155
7/1/2021,15013.578947368422,27087.447368421053,67197.0,55.23684210526316,54.526315789473685,50.23684210526316,48.76315789473684,49.8421052631579,3648.151578947368,-891.4605263157895,7381.822105263158
7/1/2021,14851.0,26816.684210526317,66424.63157894737,54.63157894736842,53.78947368421053,49.81578947368421,48.21052631578947,49.18421052631579,3617.1365789473684,-880.7452631578946,6204.257631578947
7/1/2021,14990.894736842105,27175.605263157893,66602.18421052632,54.421052631578945,53.421052631578945,49.18421052631579,47.578947368421055,48.55263157894737,3548.2007894736835,-843.1592105263156,5269.588157894737
7/1/2021,15631.842105263158,28545.263157894737,68158.18421052632,54.18421052631579,52.8421052631579,48.76315789473684,47.0,48.078947368421055,3410.669210526316,-855.7731578947368,5081.234473684211
7/1/2021,16898.447368421053,30930.342105263157,71426.31605263158,53.81578947368421,52.55263157894737,48.5,46.5,47.55263157894737,3260.303421052632,-926.9815789473685,5010.828157894737
7/1/2021,17994.92105263158,32637.92105263158,75852.34210526316,53.526315789473685,52.473684210526315,48.28947368421053,46.078947368421055,47.13157894736842,3088.6526315789474,-1041.7863157894735,5082.263947368421
7/1/2021,18618.0,33344.57894736842,78907.05263157895,54.05263157894737,54.078947368421055,48.8421052631579,45.921052631578945,47.13157894736842,3082.3884210526317,-1173.4292105263157,5286.778684210526
7/1/2021,18963.21052631579,33653.42105263158,80397.97368421052,55.44736842105263,57.6578947368421,50.81578947368421,46.8421052631579,48.44736842105263,3095.5186842105263,-1198.3047368421048,5458.477631578947
7/1/2021,19191.447368421053,33915.55263157895,81403.84210526316,56.81578947368421,61.0,53.10526315789474,48.6578947368421,50.81578947368421,3126.3110526315786,-1209.822105263158,5722.966052631578
7/1/2021,19371.973684210527,34170.97368421053,82366.28947368421,58.23684210526316,63.526315789473685,55.36842105263158,50.526315789473685,53.18421052631579,3182.0150000000003,-1221.9957894736842,5672.217368421053
7/1/2021,19509.86842105263,34456.52631578947,83220.8947368421,59.921052631578945,65.5,57.078947368421055,51.86842105263158,55.1578947368421,3165.408947368421,-1229.1934210526315,5893.995263157895
7/1/2021,19644.473684210527,34746.89473684211,83899.36842105263,61.0,66.76315789473684,58.421052631578945,53.026315789473685,56.6578947368421,3208.125789473684,-1179.4905263157893,5959.194210526316
7/1/2021,19765.13157894737,34989.65789473684,84457.57894736843,61.13157894736842,67.71052631578948,59.39473684210526,53.94736842105263,57.78947368421053,3151.758947368421,-1135.4428947368424,5760.208947368421
7/1/2021,19988.736842105263,35378.97368421053,84904.73684210527,61.23684210526316,67.89473684210526,59.76315789473684,54.526315789473685,58.39473684210526,3136.3563157894737,-1125.9539473684208,5885.934210526316
7/1/2021,20384.552631578947,36092.34210526316,85357.36842105263,61.078947368421055,67.42105263157895,59.71052631578947,54.578947368421055,58.44736842105263,2970.223947368421,-1114.3581578947371,5933.764736842105
7/1/2021,20814.842105263157,37057.52631578947,86073.57894736843,60.10526315789474,66.0,59.078947368421055,54.1578947368421,58.1578947368421,2841.8684210526317,-1124.043947368421,5674.121578947368
7/1/2021,20740.157894736843,37085.39473684211,86804.57894736843,59.421052631578945,63.94736842105263,58.0,53.13157894736842,57.026315789473685,2840.363684210526,-1180.9273684210525,5879.767894736842
7/1/2021,20353.026315789473,36508.02631578947,86477.73684210527,58.86842105263158,62.026315789473685,56.60526315789474,51.81578947368421,55.44736842105263,2885.351052631579,-1166.4942105263158,5856.887894736842
7/1/2021,19779.973684210527,35556.44736842105,85108.26315789473,58.23684210526316,60.13157894736842,54.973684210526315,50.28947368421053,53.76315789473684,2883.5944736842102,-1129.9763157894738,5789.4681578947375
7/1/2021,18983.842105263157,34125.26315789474,82863.21052631579,57.73684210526316,58.973684210526315,53.26315789473684,49.0,51.89473684210526,3036.3326315789473,-1091.635,5776.311842105263
7/1/2021,17890.736842105263,32065.71052631579,79600.44736842105,56.94736842105263,58.026315789473685,52.21052631578947,47.89473684210526,50.63157894736842,3069.023421052632,-1100.8863157894737,5699.101842105263
7/1/2021,16818.0,30030.36842105263,75594.86842105263,56.5,57.21052631578947,51.026315789473685,47.078947368421055,49.526315789473685,3136.206842105263,-1028.317894736842,5669.155000000001
7/2/2021,15961.864864864865,28465.0,72165.32432432432,56.21621621621622,56.75675675675676,50.13513513513514,46.513513513513516,48.567567567567565,3083.008108108108,-1040.0197297297295,5056.105675675676
