Date,GS-PIQ: NY Demand Forecast (Mod) Multi-Day (Details)(4252)-MW,GS-PIQ: PJM-E Demand Forecast (Mod) Multi-Day (Details)(4354)-MW,GS-PIQ: MISO Demand Forecast (Zonal Sum) Multi-Day (Details)(47581)-MW,WBI: Temp New York City NY (NYC)(5708)-Deg,PJM: Southern Forecasted Factored Weather Temp(6177)-F,PJM: Western Forecasted Factored Weather Temp(6024)-F,PJM: COMED Forecasted Factored Weather Temp(6804)-F,GS-PIQ: MISO Forecasted Factored Weather Temp(6882)-F,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW,PJM: InterTieSched- Total Exports(5806)-MW
7/1/2021,2098.6101273394806,4126.6282335006745,7730.572078076662,16.661639829883743,16.320753615489846,17.32389546829182,21.627668517877822,19.07514898177988,766.9706407976248,572.9913310675133,1179.3085342989214
7/1/2021,1966.7272677734684,3866.2813466735515,7006.672016245893,16.868181937531585,16.201895644495025,17.145619316181612,21.430309825848617,19.041393855049083,923.2236487095794,557.0295958314495,1652.1857385942494
7/1/2021,1822.7030511078244,3634.2766461014353,6750.444621993025,16.662685631700604,16.24930242511927,17.20690340803116,21.10006303375536,18.72781760389705,944.6939104611105,558.7021279907005,10266.357028367938
7/1/2021,1731.164800811167,3512.5154619666464,6621.213514238763,16.795142561340807,16.342876611286062,17.251486834720495,20.854914379338965,18.70374332118443,964.3053392125993,579.7988055036354,5212.126594524378
7/1/2021,1675.0999774837765,3490.036169095268,6604.524251357624,16.58659761625758,16.204156255205064,17.185561606716973,20.60914462332833,18.580282150158986,984.823607455702,627.9744550037029,1586.829287784981
7/1/2021,1615.7660642541816,3529.4262046799677,6722.746960497559,16.472508240649482,16.1538654328013,17.12660994290924,20.33237333430127,18.426452165367063,1020.4936865739041,631.8301654721536,1501.2978930762279
7/1/2021,1572.5163462798141,3635.86514687871,6917.970931438244,16.320862561926425,15.965668180667919,17.10342150059534,20.071157200105613,18.407838178372224,1034.4548343131883,697.1356372639299,1596.166044999714
7/1/2021,1698.371547252774,3729.5048753447813,7200.251513160756,16.4739546149168,16.182634740388384,17.169910662200245,19.800875736772372,18.253723874250493,1089.5467509974521,660.407056952412,1599.5601518179917
7/1/2021,1921.1265838958525,3913.1395402114686,7065.598503550228,16.611535178776606,16.399376354238775,17.38673976835232,19.84995279311885,18.499336807150943,1041.212121588769,623.1211006389705,1535.7900983307106
7/1/2021,2242.635914804873,4322.229152295168,6959.893217132241,17.098597015973315,15.92087922974355,17.86867296931169,20.46292139956649,19.126460189332242,976.8107074588864,588.7037896651807,1552.4110502741073
7/1/2021,2564.3947043810845,5026.446930029029,7481.804546477587,17.441570818109525,15.608383055961356,18.079089718899333,21.12674277575567,19.65768574424125,1054.732811675966,626.5645066385678,1811.9828857874732
7/1/2021,2891.89797852685,5827.088886500756,8627.98609149442,17.430067544993733,15.72007984661873,18.299935094599967,21.610478992284264,20.01871457271094,1058.9564989553303,660.4309142609256,1641.3593568033357
7/1/2021,3198.0015311174993,6588.526459284667,10086.400064388201,17.735872305290986,15.93695348824506,18.54050580806189,21.852294149624356,20.368930123278396,1069.7008443379113,631.0036240795243,1849.875307642546
7/1/2021,3439.6091837775125,7211.485226900862,11541.898996923863,17.559166390359323,16.047958884318383,18.752486795734114,22.126768479763175,20.63881978056317,1151.7263447553044,656.1705659393151,2034.0175517534876
7/1/2021,3613.2653733008246,7623.211181492922,12824.468013057038,17.361297517570467,16.161194588467644,18.87732727543844,22.457103093990348,20.724913711862666,1210.5278943452938,660.924889803421,1986.8629146835492
7/1/2021,3666.656667601349,7772.938369187081,13761.196317582227,17.532108321323243,16.157651477867304,19.079399121546246,22.820968122753747,20.864478379221076,1266.3987903765312,650.3492552406785,2015.986728328837
7/1/2021,3581.861856914627,7650.25968566945,14213.924370938506,17.364738391423028,16.454082839990292,19.16910224284344,22.845700499097266,21.136234250524158,1229.2392470307618,651.4567900455984,2017.3594827675336
7/1/2021,3400.5412965483297,7200.49917089778,13971.863685455502,17.690720538523006,16.76386074348709,19.304643859385116,23.0129532452856,21.285099871251745,1276.5189197622387,617.0140927451814,1965.3270772605906
7/1/2021,3168.4449807464007,6721.042211408819,13044.291431620888,17.357343766999712,17.195139741376412,19.497747617665027,23.268318621971787,21.543779238972487,1230.5510736656051,622.2838856667071,1960.4272440109355
7/1/2021,2933.0773848016192,6141.771465059449,11894.422637304524,17.250414883583556,17.188127332402413,19.18267725542067,23.233079007542177,21.92579299120171,1227.036812249363,645.826152817361,1932.2242628361607
7/1/2021,2851.125349058774,5757.498779839883,10776.681946068278,17.134498487169907,16.504169911466988,18.546489202418325,22.5591209991889,21.51860817679173,1279.313166128918,633.434988752002,1971.9703335412498
7/1/2021,2793.7422110787197,5512.898750347129,10069.940844072999,16.808434514827976,15.871931441427217,17.886555740126873,21.910135874842368,20.935924735331632,1290.846757203223,663.1487089502868,1938.106986888558
7/1/2021,2601.972408647473,5026.876720448684,9432.750453540943,16.795989496242694,15.604030737246482,17.393937892012293,21.40445706766019,20.31431535273476,1304.546391920105,646.9637510854006,1900.3095650059945
7/1/2021,2385.0910572452685,4545.28351579699,8491.383136851944,16.66481971748319,15.598263754275264,17.275958677361615,21.14861388205597,20.081909086195733,1162.5731378192716,669.9614249853652,1752.4203419791813
7/2/2021,2178.598736218639,4134.114993293943,7821.6275588696835,17.157983459497682,15.596305483823551,17.27258933519644,21.353664298639217,20.071456433536724,1042.9796899903818,707.9520403816069,1473.4833574834777
