,GS-PIQ: NY Demand Forecast (Mod) Multi-Day (Details)(4252)-MW,GS-PIQ: PJM-E Demand Forecast (Mod) Multi-Day (Details)(4354)-MW,GS-PIQ: MISO Demand Forecast (Zonal Sum) Multi-Day (Details)(47581)-MW,WBI: Temp New York City NY (NYC)(5708)-Deg,PJM: Southern Forecasted Factored Weather Temp(6177)-F,PJM: Western Forecasted Factored Weather Temp(6024)-F,PJM: COMED Forecasted Factored Weather Temp(6804)-F,GS-PIQ: MISO Forecasted Factored Weather Temp(6882)-F
1099,-0.5875736632683607,-0.6173992559827721,-0.13296104865118533,0.7100913587789658,0.6639592523088196,0.8028260703485682,0.7907874279337019,0.8584132804190576
1100,-0.5143117806409918,-0.5504176019847795,-0.1892062518592594,0.7094517678241494,0.5785505442876998,0.8007118940162201,0.7837190268911811,0.8486111592800691
1101,-0.4491403364800398,-0.5595953143079395,-0.16038664750249798,0.706968621317989,0.5896982380610061,0.7522108494888596,0.7722895225852543,0.861210949702744
1102,-0.3828587967991237,-0.688001244534285,-0.2378125264542906,0.6866268704698747,0.5489214634724915,0.7195987011547802,0.8301125584450555,0.8476123905633887
1103,-0.34683532379895693,-0.8168730936456268,-0.36878737357291325,0.6238408404306298,0.5376448981620336,0.7221141589300833,0.8261092758771167,0.8572245624010183
1104,-0.3717334009331816,-0.9087423097664127,-0.44708851811301514,0.6462187282261949,0.5201607980441866,0.7072763003400283,0.8586563466252023,0.9093639472309173
1105,-0.9415519199816208,-1.0739733472183812,-0.6469581670490022,0.5849658072498024,0.455603187084825,0.730759606025778,0.976344471704969,0.9890688416701816
1106,-0.9994723565378847,-1.0901995456193212,-0.6525683355905817,0.6340390169934148,0.3772487552703614,0.7628245367391799,1.000651297743542,0.9830260168195011
1107,-1.0524520282513732,-1.125311808535952,-0.6842738719162518,0.5614159198855481,0.40919538449859794,0.7871931517216563,1.0425238813178677,1.013637312452811
1108,-1.057400270120768,-1.1180127904260577,-0.695174126273043,0.5542514283652793,0.3686792351183264,0.7655330185811495,1.0271107343087713,1.0014248389790996
1109,-1.0940037851869633,-1.1204199736355849,-0.7016150530822524,0.5299844960357919,0.4001937161121516,0.7398279360307924,1.0102595464459292,0.9836041718488002
1110,-1.1416877975187623,-1.1609839778413116,-0.6860440409903558,0.5394486213909263,0.4139186771923578,0.7103691577153955,1.0413366185885757,1.0022931744535926
1111,-1.2361877097067704,-1.170060718772007,-0.7096458453859202,0.6047881808879833,0.4119130805469154,0.6718717424344747,1.0369307559535001,1.0294944210637311
1112,-1.1662718309102762,-1.1362075563282312,-0.6757830398493807,0.612565412352588,0.4781004314407499,0.6808909208748107,1.0162374671387406,0.961138322924425
1113,-1.0474765087820965,-1.0441185637910728,-0.6185001019758506,0.6481727359140064,0.6161382251828839,0.722442748899044,0.968303601675505,0.9632700516567747
1114,-0.8889990859804642,-0.9024768912245238,-0.46742217361219357,0.7054171641037682,0.6083241442097697,0.7858541489810165,0.8934028709139552,0.928547758196064
1115,-0.7400870826293264,-0.7447853149999402,-0.17833508782821822,0.7126997725390898,0.6285584433394202,0.8536978272464054,0.8235086022349378,0.9371546841223359
1116,-0.6144624475037388,-0.5957045356769559,0.07989634100901401,0.8296996128496402,0.6781846147115544,0.8610309071686683,0.7706497491205033,0.8731112913934687
1117,-0.4964909190168221,-0.45374503406321426,0.2553312816874195,0.8709628121878504,0.6613650126170109,0.8846411425163169,0.740916446334855,0.8709526517812043
1118,-0.4189036223691597,-0.35823856709046237,0.3454896230196562,0.8609047889564931,0.6676606607205493,0.9337096191472545,0.7725940505030878,0.8598055299271856
1119,-0.3669643054006693,-0.2850921652377983,0.39471196139522413,0.9219585753017544,0.7216844359701126,0.9074498899284241,0.7759303972102705,0.8615544147124763
1120,-0.3987816300551945,-0.3147082627093987,0.4026619063264824,0.9746322608565879,0.7815391032228863,0.9470640726217163,0.7675072973563166,0.8468013869419989
1121,-0.4374888950958703,-0.41627346022678563,0.3528112492817576,0.9520091575308405,0.7796645850107957,0.9261244692660351,0.7700940696742259,0.8474371479248576
1122,-0.4933527269578517,-0.5412322235147279,0.25956381152391694,0.8624991389368765,0.8102219427938128,0.9208584574774705,0.8432395727800459,0.8738119156923346
1123,-0.5383553608525928,-0.6219925128938992,0.18076317445456927,0.9517420983705653,0.772596515877111,0.9519840921547932,0.8615551216972553,0.884667613008342
1124,-0.3978844662480961,-0.6039937025170611,0.11801335227152045,0.7956619473385542,0.688625298770734,0.910571442152304,0.8953046475510311,0.8886488223026916
1125,-0.452491092934621,-0.6194839169104328,0.10443069631167624,0.8074305843755649,0.7350119749684111,0.9162673019667559,0.8493137971877521,0.9042878636112933
1126,-0.5060053246263992,-0.710706469676649,0.014668999889628677,0.9213241103467611,0.7509609228796846,0.9440932649958147,0.872592087453182,0.8990355676924635
1127,-0.5303192668063602,-0.756432136251748,-0.10333923872949115,0.8633715353961479,0.6826283133368585,0.9612742895452432,0.8705830800321305,0.9141635588769913
1128,-0.5416438528732715,-0.8170575160128885,-0.24011570010349345,0.8986668410938597,0.7413168931640367,1.000926721842426,0.8577149282284705,0.9127890881824955
1129,-0.5877090640552954,-0.8405528041012844,-0.46571806491051737,0.8852830689921315,0.7368668847198373,1.052514135844918,0.7273415204868192,0.9354810898249106
1130,-0.6810417843269688,-0.8277821155177231,-0.5768226787069454,0.9058834772874177,0.7964637067834087,1.0161186248028087,0.700145723879761,0.9505668312907373
1131,-0.7884478453605867,-0.8509264522427424,-0.6169267384738228,0.8828922218264968,0.7647410003478516,1.0423138882508105,0.6430980990054269,0.9387994023236477
1132,-0.8130013376959508,-0.8837791132860751,-0.6671245646489357,0.9132925030622615,0.8053473266501148,1.0719949267091067,0.6291608652733875,0.9647355543461084
1133,-0.9094211450040197,-0.9203747157016874,-0.7123615904100239,0.9742166006053057,0.7886109779047589,1.1069062986276181,0.6569325882446999,0.9462319180434816
1134,-1.017963740969786,-0.9648600221037523,-0.7925165509379031,0.935512791682563,0.8023985511319001,1.1260476350441455,0.6787576785272567,0.9222008907367464
1135,-1.0963442648825157,-0.9796181899863043,-0.9128150642430891,0.891681406693161,0.818936217987934,1.125377474106551,0.6539531268776674,0.9403893464211358
1136,-1.0621583752999417,-0.9462361519031615,-1.030926146554275,0.969712591067871,0.834592933268608,1.0725332828787733,0.6758561434470378,0.8602349307326042
