Date,GS-PIQ: NY Demand Forecast (Mod) Multi-Day (Details)(4252)-MW,GS-PIQ: PJM-E Demand Forecast (Mod) Multi-Day (Details)(4354)-MW,GS-PIQ: MISO Demand Forecast (Zonal Sum) Multi-Day (Details)(47581)-MW,WBI: Temp New York City NY (NYC)(5708)-Deg,PJM: Southern Forecasted Factored Weather Temp(6177)-F,PJM: Western Forecasted Factored Weather Temp(6024)-F,PJM: COMED Forecasted Factored Weather Temp(6804)-F,GS-PIQ: MISO Forecasted Factored Weather Temp(6882)-F,PJM: Tie-Flows Exports 5Min(6553)-MW
7/1/2021 0:00,2.179738386391385,2.123831530726453,1.0339059166388203,1.0740081423444214,1.4156983005959842,1.1620699850224532,1.0159987514309492,1.14091679784648,-0.012180795276041583
7/1/2021 1:00,2.1632116654575664,2.026447401768771,0.9106320354664766,1.084258739438693,1.398471835271983,1.2263374919113925,1.0572826487796647,1.1249729297468873,0.15516129722152666
7/1/2021 2:00,2.075719931632333,1.943592444773341,0.712545657263666,1.1860727815171415,1.3830553227801936,1.2066760301011414,1.0064824010851996,1.1831541296211305,-0.019251379467465433
7/1/2021 3:00,2.0258036660384584,1.7649219929704467,0.48244455705637834,1.1532156385033592,1.359034082191585,1.2279643331194072,0.996862097156665,1.166386273542098,0.33036463697699003
7/1/2021 4:00,1.9814371128722919,1.6084058917639477,0.29507284935369593,1.1804076894727633,1.3934046927724666,1.2694254614965574,1.0393955218952455,1.1543080049981431,1.1187301278599302
7/1/2021 5:00,1.9391160416424948,1.3791864625617374,0.14321761552697507,1.2029612724542131,1.3716775609538814,1.2399909950687955,1.0328356485847339,1.135381485476653,1.2077010544665037
7/1/2021 6:00,1.8559760211609388,1.119859436544903,0.00992833708743898,1.1754409703240212,1.3433429893665363,1.2570584195245158,1.0213661223226396,1.1651215212360797,0.6431294610658091
7/1/2021 7:00,1.9212986420119094,1.205274988936129,-0.08448900766191583,1.2427911020216027,1.3920054521933214,1.2644519090938222,1.056572088512544,1.1432418500681658,0.7582625943092763
7/1/2021 8:00,1.9103374190770954,1.5832354018984909,0.11647242169330026,1.3212125300190944,1.4586562388023998,1.274413434149071,1.0619142316413088,1.2361751824417708,0.1189407805517452
7/1/2021 9:00,1.931561625802782,1.8871232088740957,0.4957010414034817,1.3189755602684219,1.4661316706397682,1.1855502959116395,1.0828314444540417,1.2314161295817727,-0.14537122499145658
7/1/2021 10:00,1.912557619620673,2.0446744015183898,0.8170699804788268,1.329250144272768,1.4735671156670864,1.045115497289295,1.0575272061719299,1.1793967422186327,-0.02283135032033659
7/1/2021 11:00,1.8790518739383741,2.0801169420753953,1.0160784258748543,1.363342846113187,1.4296164160616673,0.9634776766269094,0.9936699791889486,1.1397230022344282,-0.034556109501713325
7/1/2021 12:00,1.7814661823994133,2.063355709083168,1.0712548772784858,1.2448751878888098,1.3490658685713168,0.8587172753753061,0.967018785427235,1.1214190006500666,0.2949829852587503
7/1/2021 13:00,1.6753433334716368,1.9628557527033934,1.089476834123982,1.2529068584986398,1.323336024122994,0.8307670090968955,0.9478873623009408,1.082528240505245,0.3641247445507923
7/1/2021 14:00,1.5863402847204657,1.8249975993107121,1.0573866330225343,0.5684149495534113,1.1935673182213375,0.8266669815169742,0.9819891500096815,1.071682450628321,0.8942707814996895
7/1/2021 15:00,1.4534393702536186,1.6244855826780535,1.035975567013747,0.72798762480915,1.1205380424683171,0.7986017802864812,0.9847822445410994,1.0834329402841583,0.8533916924779275
7/1/2021 16:00,1.2840940137158061,1.447618558031698,0.9995572797612461,0.8016851344247706,1.0683638546961045,0.7976103153145148,0.9376404384022011,1.0670127569383883,0.906970247366121
7/1/2021 17:00,1.2127945333065093,1.2752551547152846,0.9439986926269227,1.0115323908451321,1.014086209622366,0.8247265656671926,0.9056684312096093,1.0731500158009166,0.8258061062240125
7/1/2021 18:00,1.1140613539805322,1.1551192536745785,0.8633217918861097,0.839929632328823,0.9917122998374869,0.8206076062603224,0.8968598630468283,1.1127891696531198,0.8850333945469454
7/1/2021 19:00,1.107019440071861,1.1034232912710518,0.7779497534309642,0.877171885400186,1.103883153969766,0.854663643859848,0.9118124429154972,1.1198058646635836,0.9069511382536906
7/1/2021 20:00,1.0816873824251836,1.141042817860857,0.7289569165555009,0.8616043186668875,1.143251745095155,0.971952998367108,0.918055553517981,1.1263201553808253,0.7267183107098762
7/1/2021 21:00,1.1250708394899498,1.1463546000563365,0.7440748252353783,0.9080654049770114,1.0727311828624346,0.9357219102678087,0.912819533125962,1.1513827768598397,0.713384777667722
7/1/2021 22:00,1.1423115587300727,1.079057588903842,0.7752301587533148,0.8962039171502627,1.0877756200524842,0.9652485704183554,0.8458641628079334,1.1011161668128921,0.9094685970700873
7/1/2021 23:00,1.131193709273362,1.003596709224752,0.7256923259302952,0.9901097209404386,1.0763681104961935,0.9246192647738966,0.8001022065061202,1.0693049210788075,0.7408563695070142
7/2/2021 0:00,1.0686387981552052,0.8091211796057953,0.5212055476935554,0.9781909292197876,1.0414801928630273,0.91849951139271,0.7720682621922226,1.0179845443747952,-0.09874650323267727
7/2/2021 1:00,1.0756793158151696,0.656012564146079,0.2801779407149002,0.9540830132753919,1.1333235813867524,0.9221568130861977,0.6618541981389273,1.0625750671600502,-0.19652238233026909
7/2/2021 2:00,1.019305573650627,0.5908360518521016,0.07339566099748815,0.9929934428808043,1.1547888003656055,0.9050758169078666,0.65785806416047,1.0091970644806914,-0.19366666279694716
