Date,PJM: Tie-Flows Exports 5Min(6553)-MW
3/18/2022 0:00,6923.589250079183
3/18/2022 1:00,6454.445720251633
3/18/2022 2:00,6426.053006718902
3/18/2022 3:00,6521.259583398532
3/18/2022 4:00,6351.364956970219
3/18/2022 5:00,6264.705052855125
3/18/2022 6:00,6119.36055005337
3/18/2022 7:00,6354.983794449083
3/18/2022 8:00,6771.189068411083
3/18/2022 9:00,6844.178997893055
3/18/2022 10:00,7089.700277780553
3/18/2022 11:00,7258.006326545369
3/18/2022 12:00,7277.487709908737
3/18/2022 13:00,7257.920134042295
3/18/2022 14:00,7215.858692120996
3/18/2022 15:00,7102.784801086379
3/18/2022 16:00,7077.041186887855
3/18/2022 17:00,7185.668072167617
3/18/2022 18:00,7241.925672087621
3/18/2022 19:00,7299.719118136604
3/18/2022 20:00,7471.403675108435
3/18/2022 21:00,7476.248638828433
3/18/2022 22:00,7424.475636026943
3/18/2022 23:00,7119.679676680373
3/19/2022 0:00,6979.928518794454
3/19/2022 1:00,7247.032401879826
3/19/2022 2:00,7540.992362818059
3/19/2022 3:00,7599.943940967565
3/19/2022 4:00,7587.854451274224
3/19/2022 5:00,7554.390779794422
3/19/2022 6:00,7711.833441273661
3/19/2022 7:00,7817.15559618458
3/19/2022 8:00,7868.906300867459
3/19/2022 9:00,7921.149939671768
3/19/2022 10:00,8440.215376789365
3/19/2022 11:00,7676.753803569366
3/19/2022 12:00,7639.442079837652
3/19/2022 13:00,7642.3940254090985
3/19/2022 14:00,7581.885283369151
3/19/2022 15:00,7513.1462762427445
3/19/2022 16:00,7314.984066725178
3/19/2022 17:00,7337.957233691242
3/19/2022 18:00,7320.779137878309
3/19/2022 19:00,7204.146313649898
3/19/2022 20:00,7015.794945871536
3/19/2022 21:00,6930.432478840096
3/19/2022 22:00,6580.569095077816
3/19/2022 23:00,6322.757860196176
3/20/2022 0:00,6286.062047247867
3/20/2022 1:00,6663.9031497394335
3/20/2022 2:00,6760.843418378375
3/20/2022 3:00,6825.1499711556025
3/20/2022 4:00,6787.037493277478
3/20/2022 5:00,6736.663998007529
3/20/2022 6:00,6648.119516550179
3/20/2022 7:00,6510.7987226585865
3/20/2022 8:00,6402.528052495234
3/20/2022 9:00,6316.906692772952
3/20/2022 10:00,6126.495836452636
3/20/2022 11:00,6008.028625597537
3/20/2022 12:00,5862.774320407433
3/20/2022 13:00,5995.326896666725
3/20/2022 14:00,6086.285520693373
3/20/2022 15:00,6039.799794706159
3/20/2022 16:00,6017.3618247388895
3/20/2022 17:00,6000.912265578892
3/20/2022 18:00,6237.817625107502
3/20/2022 19:00,6372.007334581548
3/20/2022 20:00,6432.910311496078
3/20/2022 21:00,6363.282821664271
3/20/2022 22:00,6193.935704421429
3/20/2022 23:00,6308.802260763878
3/21/2022 0:00,6109.876206101669
3/21/2022 1:00,6228.018896688309
3/21/2022 2:00,6307.560088607035
3/21/2022 3:00,6407.493009378761
3/21/2022 4:00,6408.698376835684
3/21/2022 5:00,6427.713048514601
3/21/2022 6:00,6342.637878584365
3/21/2022 7:00,6408.000736024347
3/21/2022 8:00,6575.683141459347
3/21/2022 9:00,6620.172833413468
3/21/2022 10:00,6633.734452777704
3/21/2022 11:00,6622.998968479391
3/21/2022 12:00,6880.048715148935
3/21/2022 13:00,6730.389998466786
3/21/2022 14:00,6824.016150427738
3/21/2022 15:00,6855.593615616068
3/21/2022 16:00,6741.875649413698
3/21/2022 17:00,6864.3726256565305
3/21/2022 18:00,6802.976635979274
3/21/2022 19:00,6885.104779755756
3/21/2022 20:00,6680.416252051976
3/21/2022 21:00,6604.431756892327
3/21/2022 22:00,6363.4000552209545
3/21/2022 23:00,6232.802887396815
3/22/2022 0:00,6378.374653619077
3/22/2022 1:00,6525.751357177221
3/22/2022 2:00,6520.197516540823
3/22/2022 3:00,6156.295161230359
3/22/2022 4:00,6191.043313362175
3/22/2022 5:00,6242.442516321081
3/22/2022 6:00,6124.603529628383
3/22/2022 7:00,6172.115054728548
3/22/2022 8:00,6421.02552805654
3/22/2022 9:00,6569.97563761827
3/22/2022 10:00,6906.859751420517
3/22/2022 11:00,7051.946796271632
3/22/2022 12:00,7327.677642273585
3/22/2022 13:00,7474.986317386456
3/22/2022 14:00,7660.995071818611
3/22/2022 15:00,7687.202865182085
3/22/2022 16:00,7488.7406294311495
3/22/2022 17:00,7389.449241907899
3/22/2022 18:00,7431.177433607009
3/22/2022 19:00,7362.381711647185
3/22/2022 20:00,7304.00881603688
3/22/2022 21:00,7292.459282181201
3/22/2022 22:00,7297.582686488691
3/22/2022 23:00,7085.236551751723
3/23/2022 0:00,7036.362188892195
3/23/2022 1:00,7069.482767405827
3/23/2022 2:00,7096.880518042818
3/23/2022 3:00,7075.932318797684
3/23/2022 4:00,7039.037083178335
3/23/2022 5:00,6994.752605643991
3/23/2022 6:00,7018.664367800671
3/23/2022 7:00,7473.491300877939
3/23/2022 8:00,7355.002377296872
3/23/2022 9:00,7110.515448983206
3/23/2022 10:00,7033.308795581121
3/23/2022 11:00,7158.228776440662
3/23/2022 12:00,7055.487934685432
3/23/2022 13:00,7165.920977134976
3/23/2022 14:00,6997.681898449304
3/23/2022 15:00,7104.797542942326
3/23/2022 16:00,7304.5822794186415
3/23/2022 17:00,7371.1018432059145
3/23/2022 18:00,7492.144798198999
3/23/2022 19:00,7533.604612423749
3/23/2022 20:00,7580.363418239563
3/23/2022 21:00,7804.976375521335
3/23/2022 22:00,7725.024593113657
3/23/2022 23:00,7491.947637403712
3/24/2022 0:00,7498.392713388013
3/24/2022 1:00,7945.998491067686
3/24/2022 2:00,11464.422097186252
3/24/2022 3:00,8585.588413780682
3/24/2022 4:00,7708.634596018468
3/24/2022 5:00,7742.228751755705
3/24/2022 6:00,7929.161512425984
3/24/2022 7:00,8182.829140657395
3/24/2022 8:00,8020.001647195796
3/24/2022 9:00,7760.219540177188
3/24/2022 10:00,7751.891988901128
3/24/2022 11:00,7615.020131306255
3/24/2022 12:00,7489.89442360329
3/24/2022 13:00,7545.405263511878
3/24/2022 14:00,7357.067471250062
3/24/2022 15:00,7380.604276315261
3/24/2022 16:00,7319.22856790001
3/24/2022 17:00,7360.889679709545
3/24/2022 18:00,7254.446313886507
3/24/2022 19:00,7338.7621596623985
3/24/2022 20:00,7437.864281024458
3/24/2022 21:00,7394.190826697095
3/24/2022 22:00,7307.383181267267
3/24/2022 23:00,7135.369426775609
3/25/2022 0:00,7091.7590268105
3/25/2022 1:00,7122.977942152206
3/25/2022 2:00,7240.955054703737
3/25/2022 3:00,7284.103240362349
3/25/2022 4:00,7351.119997042796
3/25/2022 5:00,7239.591320597515
3/25/2022 6:00,7197.405725952594
3/25/2022 7:00,7224.572139211633
3/25/2022 8:00,7348.707548939586
3/25/2022 9:00,7100.629484548722
3/25/2022 10:00,7112.189705085961
3/25/2022 11:00,7202.403579123489
3/25/2022 12:00,7181.442732684784
3/25/2022 13:00,6958.509886167295
3/25/2022 14:00,6867.169306112468
3/25/2022 15:00,6659.827947839483
3/25/2022 16:00,6638.008575417402
3/25/2022 17:00,6764.098869732519
3/25/2022 18:00,6647.163766816361
3/25/2022 19:00,6825.943743841992
3/25/2022 20:00,6883.68913137935
3/25/2022 21:00,6783.68614023388
3/25/2022 22:00,6719.582295369185
3/25/2022 23:00,6584.668903470704
3/26/2022 0:00,6410.190254369832
3/26/2022 1:00,6498.982318838914
3/26/2022 2:00,6851.919632650797
3/26/2022 3:00,6964.600977989607
3/26/2022 4:00,6895.082116808958
3/26/2022 5:00,6938.672442623933
3/26/2022 6:00,7105.319341154111
3/26/2022 7:00,7183.048965320027
3/26/2022 8:00,7246.47094977056
3/26/2022 9:00,7078.646742258177
3/26/2022 10:00,6865.961175603889
3/26/2022 11:00,6987.801295457306
3/26/2022 12:00,6983.408459481597
3/26/2022 13:00,7030.214491397859
3/26/2022 14:00,6886.046193258235
3/26/2022 15:00,6889.213692360579
3/26/2022 16:00,6852.379876623519
3/26/2022 17:00,6852.9885799959075
3/26/2022 18:00,6808.247573762697
3/26/2022 19:00,6801.767774907816
3/26/2022 20:00,6760.011881056113
3/26/2022 21:00,6600.063773620797
3/26/2022 22:00,6379.246265766742
3/26/2022 23:00,6183.122374387951
3/27/2022 0:00,6030.97825943803
3/27/2022 1:00,6295.058616544549
