Date,TETCO M3
2022-03-09,4.317452684419383
2022-03-10,4.228694190193235
2022-03-11,4.227422376217106
2022-03-12,4.218482214686468
2022-03-13,4.157578998177235
2022-03-14,4.098918394564131
2022-03-15,4.0782785482469
2022-03-16,4.123058447779584
2022-03-17,4.237453792148591
2022-03-18,4.258631225678763
2022-03-19,4.121409717158047
2022-03-20,4.097115099437287
2022-03-21,4.151465370372474
2022-03-22,4.234670812606499
2022-03-23,4.275720605539096
2022-03-24,4.1643681661196945
2022-03-25,4.129380662497547
2022-03-26,4.127964541367639
2022-03-27,4.110272007832566
2022-03-28,4.137341648236154
2022-03-29,4.146266578451595
